Date,Origin Movement ID,Destination Movement ID,Origin Display Name,Destination Display Name,Daily Mean Travel Time (Seconds),Daily Range - Lower Bound Travel Time (Seconds),Daily Range - Upper Bound Travel Time (Seconds),AM Mean Travel Time (Seconds),AM Range - Lower Bound Travel Time (Seconds),AM Range - Upper Bound Travel Time (Seconds),PM Mean Travel Time (Seconds),PM Range - Lower Bound Travel Time (Seconds),PM Range - Upper Bound Travel Time (Seconds),Midday Mean Travel Time (Seconds),Midday Range - Lower Bound Travel Time (Seconds),Midday Range - Upper Bound Travel Time (Seconds),Evening Mean Travel Time (Seconds),Evening Range - Lower Bound Travel Time (Seconds),Evening Range - Upper Bound Travel Time (Seconds),Early Morning Mean Travel Time (Seconds),Early Morning Range - Lower Bound Travel Time (Seconds),Early Morning Range - Upper Bound Travel Time (Seconds)
2019-03-29,3760,3396,"Powell BART Station, Market St and Powell St, San Francisco, CA","The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",1280.0,1046.0,1565.0,,,,1217.0,1061.0,1394.0,,,,,,,,,
2019-03-29,3760,3792,"Powell BART Station, Market St and Powell St, San Francisco, CA","Oracle Park, 24 Willie Mays Plaza, San Francisco, CA",746.0,528.0,1055.0,672.0,515.0,876.0,,,,,,,,,,,,
2019-03-29,3792,3603,"Oracle Park, 24 Willie Mays Plaza, San Francisco, CA","Embarcadero, San Francisco, CA",489.0,359.0,664.0,629.0,456.0,867.0,523.0,415.0,658.0,492.0,368.0,657.0,391.0,297.0,514.0,389.0,312.0,485.0
2019-03-29,3792,3692,"Oracle Park, 24 Willie Mays Plaza, San Francisco, CA","2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",458.0,302.0,694.0,434.0,316.0,594.0,558.0,371.0,838.0,502.0,311.0,811.0,363.0,263.0,500.0,370.0,325.0,421.0
2019-03-29,3792,3760,"Oracle Park, 24 Willie Mays Plaza, San Francisco, CA","Powell BART Station, Market St and Powell St, San Francisco, CA",632.0,514.0,778.0,,,,646.0,504.0,826.0,,,,,,,,,
2019-03-30,3394,3603,"Fisherman's Wharf, San Francisco, CA","Embarcadero, San Francisco, CA",747.0,560.0,997.0,,,,830.0,640.0,1075.0,780.0,601.0,1012.0,690.0,527.0,903.0,,,
2019-03-30,3394,3692,"Fisherman's Wharf, San Francisco, CA","2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",998.0,766.0,1301.0,726.0,623.0,846.0,1110.0,829.0,1485.0,1025.0,813.0,1292.0,983.0,785.0,1230.0,774.0,658.0,910.0
2019-03-30,3394,3760,"Fisherman's Wharf, San Francisco, CA","Powell BART Station, Market St and Powell St, San Francisco, CA",1048.0,835.0,1317.0,,,,1154.0,918.0,1451.0,972.0,761.0,1241.0,1022.0,870.0,1201.0,,,
2019-03-30,3396,3603,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA","Embarcadero, San Francisco, CA",1210.0,959.0,1526.0,,,,1369.0,1129.0,1660.0,,,,,,,,,
2019-03-30,3396,3692,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA","2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA",1343.0,1037.0,1738.0,,,,1387.0,1193.0,1613.0,1375.0,1056.0,1792.0,1412.0,1138.0,1752.0,,,
2019-03-30,3396,3760,"The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA","Powell BART Station, Market St and Powell St, San Francisco, CA",1541.0,1205.0,1972.0,,,,1698.0,1336.0,2158.0,1432.0,1212.0,1691.0,1542.0,1239.0,1918.0,,,
2019-03-30,3603,3394,"Embarcadero, San Francisco, CA","Fisherman's Wharf, San Francisco, CA",740.0,569.0,963.0,639.0,504.0,811.0,834.0,642.0,1083.0,771.0,617.0,962.0,603.0,467.0,778.0,,,
2019-03-30,3603,3396,"Embarcadero, San Francisco, CA","The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",1210.0,952.0,1539.0,,,,,,,1243.0,978.0,1580.0,,,,,,
2019-03-30,3603,3792,"Embarcadero, San Francisco, CA","Oracle Park, 24 Willie Mays Plaza, San Francisco, CA",484.0,336.0,697.0,457.0,336.0,620.0,555.0,387.0,795.0,506.0,361.0,710.0,455.0,308.0,674.0,402.0,336.0,482.0
2019-03-30,3692,3394,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA","Fisherman's Wharf, 286-298 Jefferson St, San Francisco, CA",778.0,557.0,1087.0,662.0,523.0,838.0,908.0,619.0,1333.0,772.0,573.0,1040.0,766.0,550.0,1067.0,,,
2019-03-30,3692,3396,"2nd Street and Stevenson Street (Montgomery BART, San Francisco, CA","The Palace Of Fine Arts, 3601 Lyon St, San Francisco, CA",1410.0,1000.0,1988.0,,,,,,,1672.0,1382.0,2024.0,1407.0,1117.0,1772.0,,,
